State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
NH,PORTSMOUTH,03801,46,72024,41.6,22163,19837,29
NH,SUNAPEE,03782,46,72019,51.9,2950,2895,29
IN,FREELANDVILLE,47535,16,72008,39.1,593,593,221
IL,STILLMAN VALLEY,61084,5,72000,38.8,2956,2895,575
IA,ADEL,50003,32,72000,42.5,7109,6927,89
NJ,FARMINGDALE,07727,18,71987,39.4,7550,6332,261
ME,RAYMOND,04071,48,71976,48.2,4844,4720,30
LA,LIVONIA,70755,28,71964,39.2,2339,2129,84
IL,PESOTUM,61863,5,71964,53.3,723,707,575
IA,WATKINS,52354,32,71958,51.7,390,390,89
MN,DOVER,55929,20,71953,36.5,1264,1238,184
KS,SPRING HILL,66083,29,71951,35.5,9119,8604,94
WI,HAGER CITY,54014,22,71926,45.4,2109,2080,145
PA,MILANVILLE,18443,11,71923,50.6,482,476,357
VA,MOUNT SIDNEY,24467,9,71917,37.8,2065,1974,432
ME,DURHAM,04222,48,71908,42.7,3902,3704,30
NC,CURRITUCK,27929,12,71905,54.1,1026,1022,338
RI,TIVERTON,02878,50,71901,47.9,15818,15353,27
AL,MOUNT OLIVE,35117,33,71875,40.1,5217,5111,85
NE,JACKSON,68743,38,71875,45.7,671,619,58
NJ,QUINTON,08072,18,71875,53.3,271,264,261
SD,SAINT LAWRENCE,57373,43,71875,49.4,421,402,25
ND,RHAME,58651,49,71875,47.9,470,461,13
NY,PINE HILL,12465,4,71875,54.8,204,204,645
CT,VOLUNTOWN,06384,30,71875,41,2887,2657,123
OH,KALIDA,45853,7,71859,45.3,1334,1324,377
NJ,ELMWOOD PARK,07407,18,71852,38.4,19959,14932,261
CA,FELTON,95018,1,71839,44.2,7632,7048,2821
WI,CUSTER,54423,22,71833,43.8,2296,2242,145
TN,APISON,37302,19,71829,46.3,3602,3367,180
CO,BERTHOUD,80513,13,71827,45.9,11157,10324,481
WA,VASHON,98070,6,71820,51.4,10189,9505,757
MD,THURMONT,21788,15,71806,42.5,11909,11650,257
PA,DANIELSVILLE,18038,11,71800,46.3,2707,2674,357
MA,SOUTH GRAFTON,01560,23,71797,36.6,4558,3249,273
CT,OLD SAYBROOK,06475,30,71796,50,10213,9476,123
LA,BENTON,71006,28,71787,40,12010,9634,84
IA,EARLHAM,50072,32,71786,37.1,2780,2712,89
WI,AVALON,53505,22,71786,46.8,490,424,145
IA,SOUTH AMANA,52334,32,71771,47.1,199,168,89
NJ,HEISLERVILLE,08324,18,71771,46.4,371,371,261
OH,CARROLL,43112,7,71757,46.5,4128,4005,377
ND,PERTH,58363,49,71750,51.4,53,45,13
LA,SAINT GABRIEL,70776,28,71750,40.2,5793,2461,84
MA,QUINCY,02171,23,71743,40.4,17611,10052,273
NY,ULSTER PARK,12487,4,71736,42.9,3326,3207,645
MI,GRASS LAKE,49240,14,71729,42.8,9710,9474,283
KS,BASEHOR,66007,29,71724,38.7,6330,5947,94
IA,WALKER,52352,32,71719,44.8,1679,1655,89
CT,HAMDEN,06517,30,71694,45.1,14665,10278,123
WI,HORTONVILLE,54944,22,71689,40.6,8656,8330,145
OH,JOHNSTOWN,43031,7,71688,40.9,12499,12295,377
IA,AINSWORTH,52201,32,71685,42.2,1384,1340,89
PA,STEWARTSTOWN,17363,11,71679,44.7,9579,9313,357
WV,DALLAS,26036,47,71667,44.8,563,561,25
KS,RANTOUL,66079,29,71667,48.1,483,457,94
DE,HARBESON,19951,45,71667,49.5,1790,1510,25
VT,HUNTINGTON,05462,51,71667,42.5,1875,1834,8
IA,BRONSON,51007,32,71667,41.8,709,665,89
NH,WASHINGTON,03280,46,71667,48.3,1104,1075,29
GA,ELLERSLIE,31807,10,71667,38.7,2940,2723,326
ND,LANSFORD,58750,49,71650,36,651,639,13
KY,MELBOURNE,41059,26,71650,43.8,2544,2515,116
NJ,MARMORA,08223,18,71648,48.1,3957,3847,261
MI,BELMONT,49306,14,71633,43.4,10085,9520,283
NJ,MANTUA,08051,18,71633,40.5,11041,9855,261
NJ,HALEDON,07508,18,71630,40.3,22737,17281,261
IN,RUSSIAVILLE,46979,16,71625,41.3,4920,4821,221
MA,WEYMOUTH,02188,23,71620,40.6,14911,12213,273
NY,ACCORD,12404,4,71615,41.7,3519,3144,645
KS,TOPEKA,66617,29,71594,44.4,9023,8440,94
PA,TATAMY,18085,11,71591,41.9,958,880,357
GA,CUMMING,30028,10,71585,36.9,23276,21482,326
KS,ROSE HILL,67133,29,71574,40.4,6444,6080,94
UT,MANTUA,84324,27,71563,45.5,674,610,101
WA,BLACK DIAMOND,98010,6,71563,42.9,4918,4150,757
PA,BIRDSBORO,19508,11,71560,45,16378,15538,357
NY,MIDDLE VILLAGE,11379,4,71551,43.3,35476,29972,645
OK,TUTTLE,73089,35,71548,38.1,12179,10266,79
FL,CRYSTAL BEACH,34681,3,71544,50.2,1186,981,694
IA,URBANA,52345,32,71544,35.9,1435,1387,89
NJ,BEACHWOOD,08722,18,71540,36.5,11128,10455,261
VT,EAST FAIRFIELD,05448,51,71538,45.5,944,931,8
FL,LUTZ,33558,3,71537,40.5,20735,18099,694
NJ,VINCENTOWN,08088,18,71523,48.1,24284,23267,261
NJ,AVON BY THE SEA,07717,18,71513,52.6,1809,1761,261
MN,RACINE,55967,20,71500,40.1,959,923,184
CT,COLEBROOK,06021,30,71500,46.4,379,369,123
IL,BYRON,61010,5,71486,40.2,8324,8162,575
OH,VALLEY CITY,44280,7,71475,47.1,4508,4467,377
CA,ORANGEVALE,95662,1,71473,40.8,32293,29037,2821
CA,STANDISH,96128,1,71458,45.5,831,739,2821
KY,OAKLAND,42159,26,71458,48.5,1165,1108,116
NJ,ELMER,08318,18,71452,44.7,12150,11036,261
AZ,NEW RIVER,85087,8,71451,47.3,7900,7142,488
