State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
CA,90023,1,Los Angeles,US,34.02,-118.22,46288,30.5,35736,12010,25
CA,90024,4,Westwood,US,34.06,-118.44,50693,23.0,57202,42671,34
CA,90025,4,Westwood,US,34.05,-118.44,46107,34.6,71183,48386,45
CA,90027,3,Los Angeles,US,34.11,-118.27,46646,38.9,51595,39968,32
CA,90028,9,Los Angeles,US,34.1,-118.29,30380,33.2,33582,27436,45
CA,90032,1,Los Angeles,US,34.07,-118.17,47099,33.7,45457,17853,12
CA,90033,1,Los Angeles,US,34.06,-118.21,48277,29.4,27622,11721,16
CA,90034,3,Los Angeles,US,34.03,-118.39,58069,33.1,58004,36346,34
CA,90035,3,Los Angeles,US,34.05,-118.38,30852,37.0,73794,48719,51
CA,90036,9,Los Angeles,US,34.08,-118.34,37640,35.0,69894,50387,54
CA,90038,2,Los Angeles,US,34.09,-118.33,28577,32.7,33800,23317,54
CA,90039,3,Los Angeles,US,34.13,-118.26,28149,39.1,70560,41325,30
CA,90040,3,Los Angeles,US,34.01,-118.12,12699,33.9,44964,15989,11
CA,90041,4,Los Angeles,US,34.14,-118.19,28796,40.5,63358,31244,8
CA,90042,1,Los Angeles,US,34.11,-118.18,62650,34.8,49630,22169,15
CA,90045,21,Westchester,US,33.98,-118.37,41922,34.1,75684,41416,14
CA,90046,6,West Hollywood,US,34.1,-118.34,51651,38.9,57941,58585,50
CA,90047,1,Los Angeles,US,33.99,-118.31,48678,37.0,39269,18901,13
CA,90048,5,West Hollywood,US,34.08,-118.38,22498,36.9,78940,64632,55
CA,90049,2,Los Angeles,US,34.06,-118.47,35427,41.7,115629,95318,17
CA,90057,1,Los Angeles,US,34.06,-118.28,46509,33.5,27890,14068,28
CA,90063,1,Los Angeles,US,34.03,-118.18,53813,30.8,40006,13697,13
CA,90064,7,Los Angeles,US,34.04,-118.43,26384,39.5,87283,57455,35
CA,90066,1,Los Angeles,US,34.0,-118.43,59124,37.3,68132,40820,29
CA,90067,3,Century City,US,34.06,-118.41,2330,59.2,97891,130209,35
CA,90068,2,Los Angeles,US,34.13,-118.34,21233,39.7,73693,73542,9
CA,90069,4,West Hollywood,US,34.1,-118.37,20132,42.8,78979,82091,44
CA,90071,6,Los Angeles,US,34.05,-118.25,0,0.0,0,0,55
CA,90077,1,Los Angeles,US,34.13,-118.44,8844,47.4,164281,96614,5
CA,90094,1,Playa Vista,US,33.98,-118.42,6858,33.6,104367,60361,23
CA,90201,2,Bell Gardens,US,33.97,-118.16,102946,28.2,37254,11822,8
CA,90210,2,Beverly Hills,US,34.07,-118.4,22052,46.1,145227,112648,51
CA,90211,2,Beverly Hills,US,34.06,-118.38,7530,41.2,69638,58481,53
CA,90212,1,Beverly Hills,US,34.06,-118.4,12577,40.8,92476,68148,51
CA,90220,3,Compton,US,33.88,-118.22,50715,31.2,47882,16095,4
CA,90222,1,Compton,US,33.9,-118.26,31875,27.7,37881,12620,5
